City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,9.89,71,31,10.26,ZA,1727655759
1,stanley,54.868,-1.6985,10.16,84,20,3.09,GB,1727655761
2,wiwili,13.6268,-85.8254,24.59,84,64,1.02,NI,1727655762
3,anadyr,64.75,177.4833,5.28,86,75,5.0,RU,1727655764
4,port hueneme,34.1478,-119.1951,25.23,72,0,5.14,US,1727655103
5,bilibino,68.0546,166.4372,-1.43,86,99,1.55,RU,1727655767
6,mufulira,-12.5498,28.2407,20.17,31,4,1.64,ZM,1727655769
7,polyarnyy,69.1989,33.4478,2.87,83,100,7.15,RU,1727655770
8,afaahiti,-17.75,-149.2833,25.19,80,37,6.18,PF,1727655772
9,nikolayevsk-on-amure,53.1406,140.73,3.42,99,100,2.86,RU,1727655773
10,tiksi,71.6872,128.8694,-2.29,84,98,1.86,RU,1727655775
11,lepsy,46.235,78.9456,8.69,48,0,7.76,KZ,1727655777
12,iqaluit,63.7506,-68.5145,4.85,75,75,2.57,CA,1727655778
13,ilulissat,69.2167,-51.1,4.01,93,100,4.12,GL,1727655780
14,happy valley-goose bay,53.3168,-60.3315,14.17,77,75,4.12,CA,1727655781
15,papatowai,-46.5619,169.4708,15.49,48,47,1.25,NZ,1727655610
16,badger,64.8,-147.5333,12.14,48,0,2.06,US,1727655785
17,waitangi,-43.9535,-176.5597,10.46,72,28,3.58,NZ,1727655786
18,punta arenas,-53.15,-70.9167,1.06,55,0,4.12,CL,1727655788
19,adamstown,-25.066,-130.1015,19.27,58,11,3.86,PN,1727655789
20,vilyuysk,63.7553,121.6247,0.69,92,97,2.6,RU,1727655791
21,dryden,49.7833,-92.7503,18.16,45,20,5.14,CA,1727655793
22,klyuchi,52.2667,79.1667,9.05,38,100,4.64,RU,1727655794
23,port mathurin,-19.6833,63.4167,22.56,80,51,6.34,MU,1727655796
24,kingston,17.997,-76.7936,28.53,79,40,6.69,JM,1727655682
25,yellowknife,62.456,-114.3525,9.29,60,20,6.71,CA,1727655799
26,tura,25.5198,90.2201,23.46,97,69,1.23,IN,1727655803
27,hakui,36.8833,136.7833,26.25,75,100,0.91,JP,1727655804
28,grytviken,-54.2811,-36.5092,-2.46,76,65,3.28,GS,1727655549
29,kerikeri,-35.2268,173.9474,19.39,62,3,2.24,NZ,1727655807
30,puerto natales,-51.7236,-72.4875,-2.44,78,41,1.74,CL,1727655809
31,cidreira,-30.1811,-50.2056,18.98,90,0,9.04,BR,1727655811
32,chonchi,-42.6128,-73.8092,9.51,98,100,0.94,CL,1727655812
33,madinat ash shamal,26.1293,51.2009,30.15,58,0,4.72,QA,1727655814
34,edinburgh of the seven seas,-37.0676,-12.3116,14.68,92,99,16.1,SH,1727655816
35,nemuro,43.3236,145.575,15.41,86,67,5.16,JP,1727655817
36,port-aux-francais,-49.35,70.2167,1.25,62,90,10.95,TF,1727655819
37,lebu,-37.6167,-73.65,11.7,85,100,8.77,CL,1727655820
38,walvis bay,-22.9575,14.5053,11.53,66,0,2.06,NA,1727655822
39,bethel,41.3712,-73.414,15.58,88,98,0.44,US,1727655824
40,san patricio,28.017,-97.5169,27.97,33,0,1.59,US,1727655825
41,pyhajarvi,67.0701,27.2176,-0.3,97,55,1.83,FI,1727655827
42,panaba,21.2833,-88.2667,27.36,83,82,4.27,MX,1727655828
43,laojunmiao,39.8333,97.7333,0.7,58,0,0.31,CN,1727655830
44,unai,-16.3575,-46.9061,28.44,37,71,2.01,BR,1727655831
45,ust'-ilimsk,58.0006,102.6619,2.11,97,100,4.31,RU,1727655835
46,weno,7.4515,151.8468,31.97,70,20,3.6,FM,1727655836
47,susuman,62.7833,148.1667,-2.68,80,64,1.77,RU,1727655814
